"","fips","year","hyads"
"164","06013",1999,0.0198146558789324
"165","06015",1999,0.0467839386778026
"166","06017",1999,0.022023046418091
"167","06019",1999,0.0263131396620774
"168","06021",1999,0.0274541989725039
"169","06023",1999,0.0507304542008188
"170","06025",1999,0.0807846543328682
"171","06027",1999,0.0440880247273328
"172","06029",1999,0.0304294226446283
"173","06031",1999,0.0226307754292099
"174","06033",1999,0.0332631376712574
"175","06035",1999,0.0235786718252928
"176","06037",1999,0.0307002463562819
"177","06039",1999,0.025343078516164
"178","06041",1999,0.0195715104475589
"179","06043",1999,0.0270533099431007
"180","06045",1999,0.0398405845792282
"181","06047",1999,0.0243266605292566
"182","06049",1999,0.0293837512323694
"183","06051",1999,0.0282150328914751
"184","06053",1999,0.0252527735216183
"185","06055",1999,0.0226523589023772
